,name,gender,Name Rank,age,surgency_score,agreeableness_score,conscientiousness_score,emotional_stability_score,intellect_score,Daily New Cases Day 4,Time Step,Response,Run Number
0,Varun,1,0.050999999999999934,46,1,0,1,0,1,0.0,0,0,1
1,Kristopher,1,0.07099999999999984,20,0,1,1,0,1,0.0,0,0,1
2,Antony,1,0.3989999999999999,63,0,1,1,1,1,0.0,0,0,1
3,Angelo,1,0.6059999999999999,57,0,1,0,0,1,0.0,0,0,1
4,Ted,1,0.6839999999999999,24,1,0,1,1,1,0.0,0,0,1
5,Kristi,0,0.5989999999999999,40,0,0,0,0,1,0.0,0,0,1
6,Kirsten,0,0.46599999999999986,56,1,0,1,0,0,0.0,0,0,1
7,Salomon,1,0.1319999999999999,55,0,0,1,0,1,0.0,0,0,1
8,Moe,1,0.565,55,0,0,0,0,1,0.0,0,0,1
9,Azucena,0,0.23399999999999987,22,1,1,0,1,1,0.0,0,0,1
10,William,1,0.9719999999999999,26,1,1,0,0,1,0.0,0,0,1
11,Walter,1,0.825,49,1,0,1,0,1,0.0,0,0,1
12,Charles,1,0.9279999999999999,44,0,1,0,0,0,0.0,0,0,1
13,Brayan,1,0.5599999999999998,51,0,0,1,1,1,0.0,0,0,1
14,Rene,1,0.8369999999999999,36,0,1,1,1,0,0.0,0,0,1
15,Sarah,0,0.9939999999999999,52,1,0,1,1,0,0.0,0,0,1
16,Raúl,1,0.1419999999999999,30,0,1,1,1,0,0.0,0,0,1
17,Heidi,0,0.7829999999999999,24,1,1,0,0,1,0.0,0,0,1
18,Melanie,0,0.8659999999999999,46,1,1,0,0,0,0.0,0,0,1
19,Melina,0,0.07099999999999984,43,0,0,1,1,1,0.0,0,0,1
20,Jada,0,0.31699999999999984,63,0,1,0,1,1,0.0,0,0,1
21,Elias,1,0.7349999999999999,41,0,0,1,0,1,0.0,0,0,1
22,Belkis,0,0.041999999999999926,30,1,1,1,1,1,0.0,0,0,1
23,Memo,1,0.15999999999999992,49,0,0,1,1,1,0.0,0,0,1
24,Tracey,0,0.6469999999999999,18,0,0,1,0,0,0.0,0,0,1
25,Lee,1,0.8349999999999999,45,0,1,1,0,0,0.0,0,0,1
26,Federico,1,0.5309999999999999,43,0,1,0,1,1,0.0,0,0,1
27,Gwen,0,0.45499999999999985,54,0,0,1,0,0,0.0,0,0,1
28,Brenda,0,0.9689999999999999,38,0,1,1,1,1,0.0,0,0,1
29,Sky,1,0.2519999999999999,60,1,0,1,1,1,0.0,0,0,1
30,Nathalie,0,0.3669999999999999,22,0,1,1,1,1,0.0,0,0,1
31,Rony,1,0.3819999999999999,37,1,1,1,0,1,0.0,0,0,1
32,Yanet,0,0.29799999999999993,44,1,0,0,1,1,0.0,0,0,1
33,Tomas,1,0.7129999999999999,20,0,0,1,0,0,0.0,0,0,1
34,Margaret,0,0.8419999999999999,54,0,1,1,0,1,0.0,0,0,1
35,Shane,1,0.7949999999999999,21,0,1,1,0,1,0.0,0,0,1
36,Linda,0,0.9889999999999999,25,1,1,0,1,1,0.0,0,0,1
37,Manolo,1,0.05799999999999994,44,0,1,0,1,0,0.0,0,0,1
38,Mabel,0,0.2919999999999999,59,1,1,0,1,0,0.0,0,0,1
39,Janette,0,0.2529999999999999,30,0,0,0,0,1,0.0,0,0,1
40,Ada,0,0.5309999999999999,50,0,1,1,0,1,0.0,0,0,1
41,Teri,0,0.4819999999999999,35,0,0,0,0,0,0.0,0,0,1
42,Esmeralda,0,0.7409999999999999,65,1,1,1,1,0,0.0,0,0,1
43,Brendan,1,0.6419999999999999,23,0,0,0,0,0,0.0,0,0,1
44,Emerson,1,0.1459999999999999,28,1,0,0,0,0,0.0,0,0,1
45,Vince,1,0.573,53,0,1,1,0,1,0.0,0,0,1
46,Marjorie,0,0.41999999999999993,43,1,0,1,0,0,0.0,0,0,1
47,Samantha,0,0.9559999999999998,51,1,0,0,0,0,0.0,0,0,1
48,Giovanni,1,0.6269999999999999,49,1,1,1,1,0,0.0,0,0,1
49,Leonor,0,0.3769999999999999,38,0,0,1,0,0,0.0,0,0,1
50,Darius,1,0.4899999999999999,41,1,0,1,0,0,0.0,0,0,1
51,Frances,0,0.6649999999999998,56,1,1,1,1,1,0.0,0,0,1
52,Rocio,0,0.7659999999999999,52,1,1,0,0,1,0.0,0,0,1
53,Dorothy,0,0.7009999999999998,42,1,1,0,0,1,0.0,0,0,1
54,Chuy,1,0.575,51,0,1,1,0,1,0.0,0,0,1
55,Rosalba,0,0.4049999999999999,27,1,0,1,0,0,0.0,0,0,1
56,Lizette,0,0.026999999999999913,23,1,1,1,0,1,0.0,0,0,1
57,Elle,0,0.09399999999999986,23,0,0,0,1,0,0.0,0,0,1
58,Trish,0,0.45299999999999985,25,1,1,1,0,1,0.0,0,0,1
59,Priyanka,0,0.11399999999999988,41,0,0,1,0,0,0.0,0,0,1
60,Mariano,1,0.4929999999999999,31,1,1,0,1,0,0.0,0,0,1
61,Tanner,1,0.5949999999999999,21,1,0,0,1,1,0.0,0,0,1
62,Juan Carlos,1,0.7359999999999999,18,1,1,1,1,0,0.0,0,0,1
63,Ashlee,0,0.35399999999999987,28,1,1,0,0,0,0.0,0,0,1
64,Simon,1,0.708,25,1,1,0,1,1,0.0,0,0,1
65,Dino,1,0.15899999999999992,36,0,1,0,1,1,0.0,0,0,1
66,Nichole,0,0.47699999999999987,23,0,0,1,1,1,0.0,0,0,1
67,Ruben,1,0.8829999999999999,25,0,0,1,1,0,0.0,0,0,1
68,Maricela,0,0.696,21,0,0,0,0,1,0.0,0,0,1
69,Kristian,1,0.16899999999999993,46,1,0,1,0,1,0.0,0,0,1
70,Chandler,1,0.31899999999999984,32,0,0,0,0,0,0.0,0,0,1
71,Desiree,0,0.6239999999999999,54,1,0,1,1,0,0.0,0,0,1
72,Dominic,1,0.6519999999999999,28,0,1,0,0,0,0.0,0,0,1
73,Felix,1,0.8049999999999999,57,0,1,0,0,0,0.0,0,0,1
74,Alice,0,0.7929999999999999,42,0,0,0,1,0,0.0,0,0,1
75,Esther,0,0.8449999999999999,56,1,1,0,1,1,0.0,0,0,1
76,Gene,1,0.6459999999999999,42,0,1,0,0,0,0.0,0,0,1
77,Yesenia,0,0.7529999999999999,56,0,1,1,1,0,0.0,0,0,1
78,Ricky,1,0.8139999999999998,54,0,0,0,0,1,0.0,0,0,1
79,Bernie,0,0.17199999999999993,49,1,0,0,0,0,0.0,0,0,1
80,Rahul,1,0.46899999999999986,26,1,0,1,0,1,0.0,0,0,1
81,Michaela,0,0.3659999999999999,19,0,0,0,0,1,0.0,0,0,1
82,Deanna,0,0.6619999999999999,24,1,0,0,0,1,0.0,0,0,1
83,Cristal,0,0.2629999999999999,60,0,0,1,0,0,0.0,0,0,1
84,Russell,1,0.694,23,0,1,0,0,0,0.0,0,0,1
85,Dre,1,0.35299999999999987,24,1,1,0,1,0,0.0,0,0,1
86,Ajay,1,0.33099999999999985,59,0,0,0,0,0,0.0,0,0,1
87,Lily,0,0.8039999999999998,36,1,0,0,0,1,0.0,0,0,1
88,Jacqueline,0,0.8699999999999999,65,0,1,0,1,0,0.0,0,0,1
89,Mickey,1,0.4849999999999999,33,1,0,1,1,0,0.0,0,0,1
90,Brooklyn,0,0.09799999999999986,33,1,0,1,1,0,0.0,0,0,1
91,Everardo,1,0.23299999999999987,31,0,0,1,1,0,0.0,0,0,1
92,Matilde,0,0.05599999999999994,42,0,1,1,0,0,0.0,0,0,1
93,Adalberto,1,0.18099999999999994,51,1,0,0,1,1,0.0,0,0,1
94,Tracie,0,0.1299999999999999,50,0,0,1,1,1,0.0,0,0,1
95,Dena,0,0.11899999999999988,45,0,0,0,0,1,0.0,0,0,1
96,Lindsey,0,0.7719999999999999,55,1,0,0,1,1,0.0,0,0,1
97,Elaine,0,0.7839999999999999,44,1,1,0,0,0,0.0,0,0,1
98,Ally,0,0.47799999999999987,30,0,0,1,1,0,0.0,0,0,1
99,Chava,1,0.09299999999999986,50,0,0,1,1,0,0.0,0,0,1
100,Nicki,0,0.10999999999999988,44,0,1,0,0,1,0.0,0,0,1
101,Fransisco,1,0.027999999999999914,21,1,0,0,0,0,0.0,0,0,1
102,Nena,0,0.4919999999999999,34,0,1,0,0,0,0.0,0,0,1
103,Fabiola,0,0.6089999999999999,49,0,1,0,0,0,0.0,0,0,1
104,Tess,0,0.1479999999999999,44,1,1,1,0,1,0.0,0,0,1
