,name,gender,Name Rank,age,surgency_score,agreeableness_score,conscientiousness_score,emotional_stability_score,intellect_score,Daily New Cases Day 4,Time Step,Response,Run Number
0,Doreen,0,0.32099999999999984,31,1,1,1,0,0,0.0,0,0,1
1,Irina,0,0.4849999999999999,24,1,1,1,0,0,0.0,0,0,1
2,Juan Carlos,1,0.7359999999999999,35,0,1,1,0,0,0.0,0,0,1
3,Jesús,1,0.569,48,0,1,1,1,1,0.0,0,0,1
4,Dorian,1,0.23899999999999988,27,1,0,0,1,1,0.0,0,0,1
5,Meg,0,0.5039999999999999,62,0,1,1,0,1,0.0,0,0,1
6,Tasha,0,0.5719999999999998,37,0,1,0,1,0,0.0,0,0,1
7,Tj,1,0.6339999999999999,60,1,1,1,0,1,0.0,0,0,1
8,Eve,0,0.3629999999999999,46,0,0,1,1,1,0.0,0,0,1
9,Roman,1,0.6779999999999999,26,1,1,0,1,0,0.0,0,0,1
10,Elvis,1,0.5489999999999999,56,1,0,1,0,1,0.0,0,0,1
11,Laura,0,0.9909999999999999,64,0,1,0,1,1,0.0,0,0,1
12,Braulio,1,0.19199999999999984,59,0,1,1,0,0,0.0,0,0,1
13,Beto,1,0.6699999999999999,59,1,1,0,0,1,0.0,0,0,1
14,Connie,0,0.8479999999999999,41,0,0,0,0,0,0.0,0,0,1
15,Elvira,0,0.577,64,0,0,1,1,0,0.0,0,0,1
16,Sky,1,0.2519999999999999,51,1,1,0,0,1,0.0,0,0,1
17,Jenna,0,0.7669999999999999,48,0,1,0,0,1,0.0,0,0,1
18,Joao,1,0.030999999999999917,30,0,1,1,1,0,0.0,0,0,1
19,Amalia,0,0.3879999999999999,60,0,0,1,0,1,0.0,0,0,1
20,Suzette,0,0.004999999999999893,61,1,0,0,1,1,0.0,0,0,1
21,Berenice,0,0.34899999999999987,18,1,1,1,0,1,0.0,0,0,1
22,Dwight,1,0.45099999999999985,56,0,0,1,0,1,0.0,0,0,1
23,Lora,0,0.1469999999999999,25,0,1,1,0,1,0.0,0,0,1
24,Antoinette,0,0.35499999999999987,21,0,1,0,0,1,0.0,0,0,1
25,Sandra,0,0.9859999999999999,63,1,0,1,1,1,0.0,0,0,1
26,Franky,1,0.08699999999999986,59,0,1,1,0,1,0.0,0,0,1
27,Sonia,0,0.9259999999999999,63,1,0,0,0,0,0.0,0,0,1
28,Bj,1,0.2899999999999999,50,0,1,0,0,1,0.0,0,0,1
29,Davis,1,0.21199999999999986,49,1,1,1,1,1,0.0,0,0,1
30,Ramon,1,0.8659999999999999,18,0,0,0,0,0,0.0,0,0,1
31,Michele,1,0.8039999999999998,44,1,1,0,0,1,0.0,0,0,1
32,Matt,1,0.9689999999999999,26,0,1,1,0,0,0.0,0,0,1
33,Dion,1,0.11799999999999988,47,1,0,0,1,0,0.0,0,0,1
34,Nicolas,1,0.7169999999999999,63,1,0,0,1,0,0.0,0,0,1
35,Beatrice,0,0.4079999999999999,58,1,1,1,1,0,0.0,0,0,1
36,Emiliano,1,0.31799999999999984,50,1,1,1,0,1,0.0,0,0,1
37,Landon,1,0.4049999999999999,55,1,0,0,0,1,0.0,0,0,1
38,Paige,0,0.7049999999999998,36,1,1,0,1,1,0.0,0,0,1
39,Giselle,0,0.45999999999999985,42,0,0,1,1,1,0.0,0,0,1
40,Esperanza,0,0.6609999999999998,37,0,0,1,0,1,0.0,0,0,1
41,Ciara,0,0.17899999999999994,47,0,0,0,0,1,0.0,0,0,1
42,Fran,1,0.593,30,1,0,0,0,1,0.0,0,0,1
43,Seth,1,0.7329999999999999,45,0,0,0,1,1,0.0,0,0,1
44,Gabby,0,0.6819999999999999,50,0,0,1,0,1,0.0,0,0,1
45,Cali,1,0.017999999999999905,35,1,0,0,0,1,0.0,0,0,1
46,Kike,1,0.10699999999999987,52,0,0,0,0,1,0.0,0,0,1
47,Kiana,0,0.0129999999999999,20,1,1,0,0,0,0.0,0,0,1
48,Nina,0,0.7969999999999999,20,1,0,1,0,1,0.0,0,0,1
49,Charlene,0,0.5859999999999999,43,1,0,0,0,0,0.0,0,0,1
50,Bret,1,0.18899999999999983,28,0,0,1,0,1,0.0,0,0,1
51,Paula,0,0.9029999999999999,24,0,1,0,0,1,0.0,0,0,1
52,Suresh,1,0.2579999999999999,45,1,0,1,1,0,0.0,0,0,1
53,Ana,0,0.9929999999999999,23,1,1,0,1,1,0.0,0,0,1
54,Romeo,1,0.47499999999999987,59,1,0,0,1,0,0.0,0,0,1
55,Tiara,0,0.06299999999999994,36,0,1,0,0,1,0.0,0,0,1
56,Octavio,1,0.6019999999999999,33,0,0,1,0,1,0.0,0,0,1
57,Keri,0,0.21499999999999986,35,0,0,0,0,0,0.0,0,0,1
58,Everardo,1,0.23299999999999987,37,0,1,0,1,1,0.0,0,0,1
59,Conrad,1,0.08899999999999986,20,1,1,0,1,1,0.0,0,0,1
60,Maggie,0,0.8319999999999999,36,0,0,1,0,0,0.0,0,0,1
61,Les,1,0.2609999999999999,40,1,0,0,1,0,0.0,0,0,1
62,Quinton,1,0.013999999999999901,50,0,0,1,1,1,0.0,0,0,1
63,Wayne,1,0.7919999999999999,57,1,0,1,0,0,0.0,0,0,1
64,Cindy,0,0.9539999999999998,38,0,0,0,0,1,0.0,0,0,1
65,Nicki,0,0.10999999999999988,50,0,0,1,1,1,0.0,0,0,1
66,Bert,1,0.19699999999999984,24,0,0,0,1,1,0.0,0,0,1
67,Red,1,0.22099999999999986,29,1,0,0,0,0,0.0,0,0,1
68,Araceli,0,0.7109999999999999,19,0,0,1,0,1,0.0,0,0,1
69,Bonnie,0,0.7819999999999999,34,1,1,1,1,0,0.0,0,0,1
70,Collin,1,0.5079999999999999,21,1,0,0,0,0,0.0,0,0,1
71,Pilar,0,0.44099999999999984,39,0,1,1,0,1,0.0,0,0,1
72,Reyes,1,0.45299999999999985,60,0,1,1,1,1,0.0,0,0,1
73,Bart,1,0.20199999999999985,49,1,1,0,1,1,0.0,0,0,1
74,Brady,1,0.47099999999999986,29,1,1,1,0,1,0.0,0,0,1
75,Connor,1,0.6989999999999998,48,0,1,0,0,1,0.0,0,0,1
76,Dustin,1,0.7659999999999999,36,1,0,0,0,1,0.0,0,0,1
77,Dianne,0,0.5249999999999999,50,1,0,0,0,0,0.0,0,0,1
78,Aly,1,0.33699999999999986,34,0,1,1,1,0,0.0,0,0,1
